"","Trans_Pub_Date","sum"
"1","-",1
"2","1966",1
"3","1967",1
"4","1968",1
"5","1971",1
"6","1973",1
"7","1974",2
"8","1976",3
"9","1977",3
"10","1978",3
"11","1979",3
"12","1980",5
"13","1981",3
"14","1982",1
"15","1983",4
"16","1984",2
"17","1985",6
"18","1986",6
"19","1987",6
"20","1988",4
"21","1989",18
"22","1990",6
"23","1991",9
"24","1992",6
"25","1993",12
"26","1994",8
"27","1995",12
"28","1996",12
"29","1997",14
"30","1998",19
"31","1999",10
"32","2000",12
"33","2001",16
"34","2002",16
"35","2003",9
"36","2004",15
"37","2005",17
"38","2006",16
"39","2007",28
"40","2008",27
"41","2009",25
"42","2010",17
"43","2011",27
"44","2012",21
"45","2013",17
"46","2014",27
"47","2015",26
"48","2016",34
"49","2017",19
"50","2018",15
